sampo;2
kiloko;0
sipulimies;1
hapokas;23
heppola;74
PulHo;11
PulHo;11
sipe;24
sipe;24
seppo;31
asdasd;0
asdasd;12
seppo;11
apuvaMIES;15
asdasdasd;25
qweqweqwe;9
hapokas;1
asdasd„;3
qwe;8
asdertdfg;5
tesomati;10
qweasdert;11
